player_name,odds,win_prob,popularity
Brooks Koepka,2500,0.038,0.20
Tommy Fleetwood,4500,0.021,0.07
Jordan Spieth,3000,0.032,0.18
Viktor Hovland,4000,0.024,0.10
Shane Lowry,5000,0.019,0.06
Patrick Cantlay,3500,0.027,0.08
Tyrrell Hatton,8000,0.012,0.05
Will Zalatoris,4000,0.024,0.07
Russell Henley,12000,0.008,0.03
Min Woo Lee,6000,0.016,0.04
Robert MacIntyre,25000,0.004,0.02
Cameron Smith,9000,0.011,0.06
Akshay Bhatia,12000,0.008,0.02
Corey Conners,15000,0.006,0.03
Tony Finau,10000,0.010,0.06
Sepp Straka,15000,0.006,0.02
Justin Day,12000,0.008,0.04
Abraham Ancer,20000,0.005,0.01
Sergio Garcia,15000,0.006,0.03
Dustin Johnson,10000,0.010,0.08
Patrick Reed,12000,0.008,0.07
Brian Harman,15000,0.006,0.02
Sahith Theegala,10000,0.010,0.04
Keegan Bradley,18000,0.005,0.02
Daniel Berger,20000,0.005,0.01
Tom Kim,18000,0.005,0.03
Sungjae Im,10000,0.010,0.04
Justin Rose,20000,0.005,0.02
Billy Horschel,25000,0.004,0.01
Sam Burns,12000,0.008,0.03
